# NH4_removal_fraction,P_removal_fraction,LCOW,GenericNP Capital Cost,Electricity Cost,S_PO4 Concentration,S_NH4 Concentration,NH4_removal,P_removal,Upgrade LCOW,Solve Time (s)
1.000000e-01,1.000000e-01,2.270478e-01,2.649505e+04,4.376937e+04,5.422806e+01,1.845323e+00,1.000000e-01,1.000000e-01,8.194710e-03,6.726475e+00
1.000000e-01,2.214286e-01,2.272983e-01,2.649505e+04,4.568541e+04,4.684679e+01,1.845323e+00,1.000000e-01,2.214286e-01,8.194710e-03,4.957486e+00
1.000000e-01,3.428571e-01,2.275482e-01,2.649504e+04,4.759616e+04,3.948585e+01,1.845324e+00,1.000000e-01,3.428571e-01,8.194710e-03,4.902162e+00
1.000000e-01,4.642857e-01,2.279312e-01,2.697625e+04,5.045472e+04,3.568587e+01,1.821772e+00,1.000000e-01,4.642857e-01,8.194710e-03,4.066107e+00
1.000000e-01,5.857143e-01,2.280459e-01,2.649501e+04,5.140184e+04,2.482466e+01,1.845325e+00,1.000000e-01,5.857143e-01,8.194710e-03,5.300777e+00
1.000000e-01,7.071429e-01,2.284922e-01,2.697627e+04,5.474403e+04,1.945386e+01,1.821771e+00,1.000000e-01,7.071429e-01,8.194710e-03,4.524076e+00
1.000000e-01,8.285714e-01,2.287715e-01,2.697635e+04,5.687995e+04,1.137191e+01,1.821768e+00,1.000000e-01,8.285714e-01,8.194710e-03,6.519012e+00
1.000000e-01,9.500000e-01,2.287463e-01,2.644258e+04,5.676442e+04,2.928026e+00,1.851530e+00,1.000000e-01,9.500000e-01,8.194710e-03,6.814448e+00
2.214286e-01,1.000000e-01,2.271473e-01,2.657211e+04,4.386336e+04,5.504585e+01,1.593532e+00,2.214286e-01,1.000000e-01,8.194710e-03,1.360182e+01
2.214286e-01,2.214286e-01,2.274024e-01,2.657211e+04,4.581394e+04,4.755307e+01,1.593532e+00,2.214286e-01,2.214286e-01,8.194710e-03,4.366791e+00
2.214286e-01,3.428571e-01,2.276568e-01,2.657210e+04,4.775912e+04,4.008100e+01,1.593533e+00,2.214286e-01,3.428571e-01,8.194710e-03,4.249919e+00
2.214286e-01,4.642857e-01,2.279104e-01,2.657209e+04,4.969891e+04,3.262955e+01,1.593533e+00,2.214286e-01,4.642857e-01,8.194710e-03,5.880662e+01
2.214286e-01,5.857143e-01,2.281634e-01,2.657207e+04,5.163332e+04,2.519864e+01,1.593534e+00,2.214286e-01,5.857143e-01,8.194710e-03,4.242372e+00
2.214286e-01,7.071429e-01,2.284157e-01,2.657203e+04,5.356234e+04,1.778816e+01,1.593535e+00,2.214286e-01,7.071429e-01,8.194710e-03,2.266549e+01
2.214286e-01,8.285714e-01,2.286672e-01,2.657193e+04,5.548576e+04,1.039801e+01,1.593540e+00,2.214286e-01,8.285714e-01,8.194710e-03,1.434330e+01
2.214286e-01,9.500000e-01,2.288786e-01,2.652422e+04,5.710730e+04,2.974542e+00,1.598989e+00,2.214286e-01,9.500000e-01,8.194710e-03,5.700419e+00
3.428571e-01,1.000000e-01,2.272469e-01,2.664799e+04,4.395719e+04,5.585100e+01,1.342611e+00,3.428571e-01,1.000000e-01,8.194710e-03,2.294551e+01
3.428571e-01,2.214286e-01,2.275065e-01,2.664798e+04,4.594193e+04,4.824844e+01,1.342612e+00,3.428571e-01,2.214286e-01,8.194710e-03,5.354449e+00
3.428571e-01,3.428571e-01,2.277653e-01,2.664797e+04,4.792117e+04,4.066695e+01,1.342612e+00,3.428571e-01,3.428571e-01,8.194710e-03,4.402073e+00
3.428571e-01,4.642857e-01,2.280234e-01,2.664796e+04,4.989491e+04,3.310644e+01,1.342612e+00,3.428571e-01,4.642857e-01,8.194710e-03,2.016283e+01
3.428571e-01,5.857143e-01,2.282808e-01,2.664794e+04,5.186316e+04,2.556683e+01,1.342613e+00,3.428571e-01,5.857143e-01,8.194710e-03,4.279847e+00
3.428571e-01,7.071429e-01,2.285375e-01,2.664791e+04,5.382591e+04,1.804801e+01,1.342614e+00,3.428571e-01,7.071429e-01,8.194710e-03,2.192789e+01
3.428571e-01,8.285714e-01,2.287935e-01,2.664780e+04,5.578296e+04,1.054987e+01,1.342618e+00,3.428571e-01,8.285714e-01,8.194710e-03,4.093913e+00
3.428571e-01,9.500000e-01,2.290095e-01,2.660164e+04,5.743866e+04,3.018922e+00,1.347307e+00,3.428571e-01,9.500000e-01,8.194710e-03,4.769024e+00
4.642857e-01,1.000000e-01,2.273998e-01,2.747904e+04,4.428555e+04,6.264059e+01,1.090020e+00,4.642857e-01,1.000000e-01,8.194710e-03,6.547072e+00
4.642857e-01,2.214286e-01,2.277000e-01,2.747904e+04,4.658081e+04,5.411152e+01,1.090020e+00,4.642857e-01,2.214286e-01,8.194710e-03,5.818407e+00
4.642857e-01,3.428571e-01,2.279993e-01,2.747903e+04,4.886951e+04,4.560682e+01,1.090020e+00,4.642857e-01,3.428571e-01,8.194710e-03,5.064129e+00
4.642857e-01,4.642857e-01,2.282977e-01,2.747902e+04,5.115168e+04,3.712639e+01,1.090020e+00,4.642857e-01,4.642857e-01,8.194710e-03,3.999148e+00
4.642857e-01,5.857143e-01,2.285954e-01,2.747900e+04,5.342732e+04,2.867013e+01,1.090019e+00,4.642857e-01,5.857143e-01,8.194710e-03,5.331856e+00
